timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
"2024-06-17","2024-06-17T23:59:59.999Z","2024-06-17T19:25:00.000Z","2024-06-17T23:25:00.000Z","2781",0.00182307283764,0.00212891393433,0.00174243713232,0.00181178197554,831100.87,17420000,"2024-06-17T23:59:59.999Z"
"2024-06-16","2024-06-16T23:59:59.999Z","2024-06-16T20:46:00.000Z","2024-06-16T10:16:00.000Z","2781",0.00184453478479,0.00189171237679,0.00177577758469,0.00182307283764,609446.14,17420000,"2024-06-16T23:59:59.999Z"
"2024-06-15","2024-06-15T23:59:59.999Z","2024-06-15T21:40:00.000Z","2024-06-15T13:01:00.000Z","2781",0.00188136886486,0.00190975303785,0.00176341469827,0.00184453478479,572407.77,17890000,"2024-06-15T23:59:59.999Z"
"2024-06-14","2024-06-14T23:59:59.999Z","2024-06-14T02:04:00.000Z","2024-06-14T17:14:00.000Z","2781",0.00199019893512,0.00210868708936,0.00173207727213,0.00188136886486,701987.35,18680000,"2024-06-14T23:59:59.999Z"
"2024-06-13","2024-06-13T23:59:59.999Z","2024-06-13T01:19:00.000Z","2024-06-13T16:07:00.000Z","2781",0.00196968063842,0.00217843316455,0.0016789985162,0.00199019893512,901822.76,19310000,"2024-06-13T23:59:59.999Z"
"2024-06-12","2024-06-12T23:59:59.999Z","2024-06-12T12:48:00.000Z","2024-06-12T23:58:00.000Z","2781",0.00235956981852,0.00275177582399,0.0019508183427,0.00195102032559,603604.31,19310000,"2024-06-12T23:59:59.999Z"
"2024-06-11","2024-06-11T23:59:59.999Z","2024-06-11T18:56:00.000Z","2024-06-11T16:02:00.000Z","2781",0.00237832912491,0.0024687056073,0.00200512774045,0.00235973241672,402415.39,22630000,"2024-06-11T23:59:59.999Z"
"2024-06-10","2024-06-10T23:59:59.999Z","2024-06-10T17:23:00.000Z","2024-06-10T03:06:00.000Z","2781",0.00245938370925,0.00277546903319,0.00221399374181,0.00237730048216,524012.2,22940000,"2024-06-10T23:59:59.999Z"
"2024-06-09","2024-06-09T23:59:59.999Z","2024-06-09T19:16:00.000Z","2024-06-09T00:01:00.000Z","2781",0.00208806464029,0.00255036445242,0.0020803191073,0.00245938370925,348580.67,23580000,"2024-06-09T23:59:59.999Z"
"2024-06-08","2024-06-08T23:59:59.999Z","2024-06-08T08:04:00.000Z","2024-06-08T23:31:00.000Z","2781",0.00231698638725,0.0025398317039,0.00201864961032,0.00208839786849,454866.59,19940000,"2024-06-08T23:59:59.999Z"
"2024-06-07","2024-06-07T23:59:59.999Z","2024-06-07T07:22:00.000Z","2024-06-07T18:18:00.000Z","2781",0.00273877078002,0.00290871180244,0.00224388863542,0.00231675845833,621507.52,22160000,"2024-06-07T23:59:59.999Z"
"2024-06-06","2024-06-06T23:59:59.999Z","2024-06-06T02:01:00.000Z","2024-06-06T22:58:00.000Z","2781",0.00331739555384,0.00353017992535,0.00256557764367,0.00258613554881,636722.5,26740000,"2024-06-06T23:59:59.999Z"
"2024-06-05","2024-06-05T23:59:59.999Z","2024-06-05T20:47:00.000Z","2024-06-05T12:16:00.000Z","2781",0.00284161534188,0.0034974093899,0.0027196994804,0.00325086855254,847696.33,31790000,"2024-06-05T23:59:59.999Z"
"2024-06-04","2024-06-04T23:59:59.999Z","2024-06-04T19:49:00.000Z","2024-06-04T01:33:00.000Z","2781",0.00242183473453,0.00291130925428,0.00222750901294,0.00284161534188,1081160.86,27370000,"2024-06-04T23:59:59.999Z"
"2024-06-03","2024-06-03T23:59:59.999Z","2024-06-03T12:52:00.000Z","2024-06-03T01:21:00.000Z","2781",0.0026113825836,0.00297596257381,0.00229541010113,0.00242984059761,1260755.33,23260000,"2024-06-03T23:59:59.999Z"
"2024-06-02","2024-06-02T23:59:59.999Z","2024-06-02T03:58:00.000Z","2024-06-02T21:34:00.000Z","2781",0.00327426705798,0.00366442395676,0.00240380157074,0.00261115947264,1171525.08,24680000,"2024-06-02T23:59:59.999Z"
"2024-06-01","2024-06-01T23:59:59.999Z","2024-06-01T15:47:00.000Z","2024-06-01T00:01:00.000Z","2781",0.00305803779965,0.0033687514333,0.0030398737475,0.00332476175441,585343.57,31630000,"2024-06-01T23:59:59.999Z"
"2024-05-31","2024-05-31T23:59:59.999Z","2024-05-31T06:15:00.000Z","2024-05-31T20:37:00.000Z","2781",0.00328925843623,0.00341280328605,0.00298762258834,0.00305790458723,380016.21,29100000,"2024-05-31T23:59:59.999Z"
"2024-05-30","2024-05-30T23:59:59.999Z","2024-05-30T00:09:00.000Z","2024-05-30T22:12:00.000Z","2781",0.00390524927537,0.00392042464596,0.00315225098952,0.00320864609941,692268.31,31320000,"2024-05-30T23:59:59.999Z"
"2024-05-29","2024-05-29T23:59:59.999Z","2024-05-29T20:20:00.000Z","2024-05-29T15:37:00.000Z","2781",0.00301610032211,0.00406629425376,0.0025457235598,0.00378567636029,2091978.8,37630000,"2024-05-29T23:59:59.999Z"
"2024-05-28","2024-05-28T23:59:59.999Z","2024-05-28T01:42:00.000Z","2024-05-28T15:10:00.000Z","2781",0.003259544297,0.00328150685824,0.00279244949043,0.00301610032211,702873.78,28950000,"2024-05-28T23:59:59.999Z"
"2024-05-27","2024-05-27T23:59:59.999Z","2024-05-27T13:58:00.000Z","2024-05-27T07:43:00.000Z","2781",0.00322409954179,0.00365024200368,0.00307088531122,0.003259544297,567456.45,31320000,"2024-05-27T23:59:59.999Z"
"2024-05-26","2024-05-26T23:59:59.999Z","2024-05-26T00:47:00.000Z","2024-05-26T22:58:00.000Z","2781",0.00381514265965,0.00418602501067,0.00344785589717,0.00344785589717,592122.36,31000000,"2024-05-26T23:59:59.999Z"
"2024-05-25","2024-05-25T23:59:59.999Z","2024-05-25T21:38:00.000Z","2024-05-25T06:31:00.000Z","2781",0.00370494668985,0.00427688016073,0.00333699394286,0.00384145952631,637963.3,37320000,"2024-05-25T23:59:59.999Z"
"2024-05-24","2024-05-24T23:59:59.999Z","2024-05-24T00:41:00.000Z","2024-05-24T08:38:00.000Z","2781",0.00389701433445,0.00402048476763,0.00353017391569,0.00370494668985,367153.57,35260000,"2024-05-24T23:59:59.999Z"
"2024-05-23","2024-05-23T23:59:59.999Z","2024-05-23T21:47:00.000Z","2024-05-23T15:07:00.000Z","2781",0.0036877788417,0.00398018465995,0.00353375855935,0.00390335600082,397593.81,37480000,"2024-05-23T23:59:59.999Z"
"2024-05-22","2024-05-22T23:59:59.999Z","2024-05-22T20:33:00.000Z","2024-05-22T01:04:00.000Z","2781",0.00355303779722,0.00396795608787,0.00347449063853,0.00368772571028,439470.72,35580000,"2024-05-22T23:59:59.999Z"
"2024-05-21","2024-05-21T23:59:59.999Z","2024-05-21T00:58:00.000Z","2024-05-21T15:08:00.000Z","2781",0.00388881014556,0.00413846386947,0.00333863604635,0.00355303779722,735953.42,33840000,"2024-05-21T23:59:59.999Z"
"2024-05-20","2024-05-20T23:59:59.999Z","2024-05-20T20:51:00.000Z","2024-05-20T01:34:00.000Z","2781",0.00369907114329,0.00417644632205,0.00342751071332,0.00388881014556,972419.68,37480000,"2024-05-20T23:59:59.999Z"
"2024-05-19","2024-05-19T23:59:59.999Z","2024-05-19T10:49:00.000Z","2024-05-19T16:34:00.000Z","2781",0.00382652832681,0.00407445440955,0.00354672750555,0.00373392786387,368968.4,35580000,"2024-05-19T23:59:59.999Z"
"2024-05-18","2024-05-18T23:59:59.999Z","2024-05-18T07:10:00.000Z","2024-05-18T17:47:00.000Z","2781",0.00420225025142,0.00458448430419,0.00361712847935,0.00382652832681,1014343.55,36530000,"2024-05-18T23:59:59.999Z"
